component,s,branch_id,x,y,residual,det_hessian,jacobi,max_real_eigenvalue
Case1-arc,0.12172187812026575,5,0.631919311837164,-0.5897924373757519,1.1102230246251565e-16,1.0789382605635807,3.6672887197787185,0.42939390028013097
Case1-arc,0.13911071785824117,1,-1.6770600083849665,1.7023389621759561,2.220446049250313e-16,-12.694287003555907,10.305295313556368,2.0186583980636685
Case1-arc,0.13911071785824117,2,-1.1229243479472155,0.5097653893849298,1.6504651808933464e-15,-110.73048632196803,8.95075262121586,3.8209143446504297
Case1-arc,0.13911071785824117,3,-0.4908452558084388,1.0551161734005587,3.554447978966673e-16,-115.48785528125096,8.802138355897103,3.860749471541639
Case1-arc,0.13911071785824117,4,-0.2153196312534943,0.10085793693839824,1.3092278833360675e-16,-47.808602732537466,6.422478773517249,3.469925149161935
Case1-arc,0.13911071785824117,5,0.6567501691665572,-0.6057366746009301,1.1102230246251565e-16,1.0453622281083006,3.80643643051888,0.42531744393542936
Case1-arc,0.15649955759881848,1,-1.6694304514390614,1.6918377325493523,0.0,-11.974557359396211,10.312134178216283,1.9842965986915015
Case1-arc,0.15649955759881848,2,-1.1096141213195996,0.5125089817411085,8.671119018262734e-16,-124.05789288682467,9.215383790806069,3.9377859769625165
Case1-arc,0.15649955759881848,3,-0.49425047834594804,1.0434700256604472,7.021666937153402e-16,-128.12675915688317,9.069108924902503,3.9703089367519797
Case1-arc,0.15649955759881848,4,-0.23249742899297735,0.11146372580181176,3.567968179846848e-16,-39.764409112630155,6.789493261985274,3.4068194200692696
Case1-arc,0.15649955759881848,5,0.6817948619085588,-0.6215728697581172,1.1102230246251565e-16,1.0122175720538031,3.9517727936477964,0.42073619762017256
Case1-arc,0.17388839734251152,1,-1.6621902248432199,1.6815475712615735,9.155133597044475e-16,-11.265864110984948,10.325992092075268,1.9489089270917996
Case1-arc,0.17388839734251152,2,-1.096403202980915,0.514747069011942,1.1322097734007351e-15,-138.9456048780156,9.495598670705421,4.058177097521528
Case1-arc,0.17388839734251152,3,-0.49721902849545446,1.0317979674645636,7.550332863779066e-16,-142.2156544212292,9.351517972846617,4.083660323326915
Case1-arc,0.17388839734251152,4,-0.2511015191919807,0.11955099021822962,2.9893669801409083e-16,-33.33200361357704,7.172674033341495,3.361345816224901
Case1-arc,0.17388839734251152,5,0.7071387376196199,-0.6373316945458085,0.0,0.9795490725876749,4.1036889805381005,0.41571275321183165
Case1-arc,0.19127723708995495,1,-1.655379872388215,1.6714811540890213,6.280369834735101e-16,-10.569206648449743,10.347296681216546,1.9124497512469647
Case1-arc,0.19127723708995495,2,-1.0832875399930375,0.5165002146830674,1.0934428697813141e-15,-155.564187468021,9.792446344732348,4.182155217394869
Case1-arc,0.19127723708995495,3,-0.49976042200451215,1.0201014831383979,1.1866928732135989e-15,-157.91104251779734,9.650413207242515,4.200855131542254
Case1-arc,0.19127723708995495,4,-0.2719279704094643,0.12352116028230853,2.482534153247273e-16,-29.79208852172872,7.57380149965986,3.3528611736471454
Case1-arc,0.19127723708995495,5,0.7328584040825995,-0.6530341712220956,1.5700924586837752e-16,0.9473784024691885,4.26259163087778,0.4102901791745467
Case1-arc,0.2086660768419384,1,-1.6490450114041912,1.6616509858404556,2.220446049250313e-16,-9.885691759455458,10.376502546464765,1.8748744570779252
Case1-arc,0.2086660768419384,2,-1.0702606010222444,0.517787153733902,1.5700924586837751e-15,-174.09989111766404,10.107053300798961,4.309785928149134
Case1-arc,0.2086660768419384,3,-0.5018837845492764,1.0083796252213015,5.551115123125783e-16,-175.38254542291511,9.966919488368733,4.321938505890353
Case1-arc,0.2086660768419384,4,-0.29491835170820446,0.12187539695357572,1.6883057536160649e-16,-31.435421574615702,7.994903114199325,3.412132695099208
Case1-arc,0.2086660768419384,5,0.7590244847467739,-0.6686932704248422,1.1102230246251565e-16,0.9157138638119983,4.428905086951359,0.40449772573396486
Case1-arc,0.22605491659944887,1,-1.6432370696486762,1.6520690001910077,4.440892098500626e-16,-9.216530239314602,10.414092313304911,1.8361401654023097
Case1-arc,0.22605491659944887,2,-1.0573136223748363,0.5186248235592512,3.1401849173675503e-16,-194.75414620289686,10.440629975931058,4.441126640312706
Case1-arc,0.22605491659944887,3,-0.5035977334310052,0.9966291010009529,6.473657049138938e-16,-194.81194925389082,10.302245244354879,4.446943613546085
Case1-arc,0.22605491659944887,4,-0.3181938472915103,0.11555902825528104,1.3092278833360675e-16,-39.77712810881874,8.438358298777484,3.5473082189798077
Case1-arc,0.22605491659944887,5,0.785703656936879,-0.6843149104831544,0.0,0.884556266813441,4.60307345474064,0.3983545207252359
Case1-arc,0.2434437563637345,1,-1.6380141486726498,1.642746008837916,4.965068306494546e-16,-8.563029746939195,10.460577637488665,1.7962065454708007
