component,s,c1,c2,rho0,rho1,rho2,psi_residual
Case1-arc,0.5042763586577794,-0.8843330593075313,0.8863920657820972,2.4000001109190925,1.5628282062824637,1.4777660890582511,8.881784197001252e-16
Case1-arc,0.5129707796277955,-0.8774861264144215,0.8791037507872687,2.53050542456234,1.586592067910497,1.4974076623240273,0.0
Case1-arc,0.5216652008287299,-0.8706315970673056,0.8718225792985592,2.6682627080040477,1.610450947091737,1.516882805355143,0.0
Case1-arc,0.5303596223194165,-0.8637687168269178,0.8645492779649279,2.81380869946549,1.6343852219015627,1.536149183957402,-2.220446049250313e-16
Case1-arc,0.5390540441765532,-0.8568966262043232,0.8572846777427472,2.9677466353686595,1.6583745811272148,1.5551608743614715,-8.881784197001252e-16
Case1-arc,0.5477484665010297,-0.8500143417787673,0.8500297333770503,3.1307588134408357,1.6823982171589849,1.5738680332659467,-2.220446049250313e-16
Case1-arc,0.5564428894268889,-0.8431207331284328,0.8427855474135757,3.303622132148229,1.7064350856829984,1.5922165142818827,-4.440892098500626e-16
Case1-arc,0.5651373131340706,-0.8362144944604353,0.835553400019406,3.48722743381142,1.7304642510597255,1.6101474163440959,-2.220446049250313e-16
Case1-arc,0.5738317378668912,-0.8292941094784501,0.8283347863183893,3.682603747060674,1.7544653423136034,1.6275965448645178,2.220446049250313e-16
Case1-arc,0.5825261639611042,-0.8223578075534642,0.8211314635444666,3.8909488937273977,1.7784191529858684,1.6444937598091427,1.1102230246251565e-16
Case1-arc,0.5912205918841783,-0.8154035086138177,0.8139455111575031,4.113668439710809,1.8023084297219307,1.6607621757160886,2.220446049250313e-16
Case1-arc,0.5999150222962645,-0.8084287532710378,0.8067794082686596,4.352425694249801,1.8261189108850928,1.6763171658006817,1.1102230246251565e-16
Case1-arc,0.6086094561439913,-0.8014306134394572,0.7996361344650158,4.609206496298927,1.8498407000070125,1.691065104012209,-3.3306690738754696e-16
Case1-arc,0.6173038948076508,-0.7944055769298985,0.7925193026869068,4.886404021955202,1.8734700930494699,1.7049017526367083,0.0
Case1-arc,0.62599834033676,-0.7873493969645049,0.7854333366453113,5.186931038454519,1.8970120288139178,1.7177101648239046,5.551115123125783e-17
Case1-arc,0.6346927958357497,-0.7802568939200261,0.7783837110984273,5.514370288439588,1.9204834072248151,1.7293579151268093,-1.1102230246251565e-16
Case1-arc,0.6433872661106116,-0.7731216913468719,0.7713772823417645,5.873178602532112,1.9439176348571354,1.7396933872019529,1.6653345369377348e-16
Case1-arc,0.6520817587817782,-0.7659358606926174,0.7644227505327796,6.268967856624846,1.9673709342131034,1.7485407212041952,0.0
Case1-arc,0.6607762862543778,-0.7586894381816313,0.7575313184449772,6.708897544363563,1.9909312311751632,1.7556928306419173,-2.220446049250313e-16
Case1-arc,0.6694708693134225,-0.7513697617975719,0.7507176489673372,7.2022319884760195,2.0147308770923513,1.7609016035862792,-5.551115123125783e-16
Case1-arc,0.6781655438965968,-0.7439605555266855,0.7440012867110798,7.761143931312839,2.0389651716731167,1.763863954241354,-2.7755575615628914e-16
Case1-arc,0.6868603742767247,-0.7364406637930133,0.7374088158684747,8.401891052259291,2.0639197927300836,1.7642017247114963,-2.3869795029440866e-15
Case1-arc,0.6955554795312777,-0.7287823229530679,0.7309772077894388,9.146559319603623,2.090012033175276,1.7614325206723647,-1.3933298959045715e-14
Case1-arc,0.7042510879958066,-0.7209488922455598,0.7247591126654374,10.025657301290021,2.1178533768468566,1.754927579171496,-8.965050923848139e-14
Case1-arc,0.7129476499232992,-0.7128921940577215,0.7188313057448347,11.081922249393692,2.1483439783739158,1.7438527750919939,2.7755575615628914e-17
Case1-arc,0.7216460606619202,-0.7045504474495317,0.7133079835755979,12.375576356833191,2.1828096443038034,1.7270940394020873,2.914335439641036e-16
Case1-arc,0.730348026834871,-0.695850288274795,0.7083601663357757,13.99026048710413,2.2231745173410125,1.7031923862819127,-1.1102230246251565e-16
Case1-arc,0.7390562797300445,-0.6867223677085825,0.7042371184159618,16.03501384585148,2.2720826539905308,1.6703906493492284,8.326672684688674e-17
Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,18.6283654228496,2.3326643377489336,1.6270537893304333,-9.71445146547012e-17
Case1-arc,0.7564959285765573,-0.6672274943495452,0.699763945118339,21.84592176219118,2.4074617652432058,1.5727304213116688,1.1796119636642288e-16
Case1-arc,0.7652157968131189,-0.6571987048128751,0.6998620916547154,25.656850830369994,2.4968883248202935,1.5091919759379868,-2.7755575615628914e-17
Case1-arc,0.7739269151273733,-0.6472974066820979,0.7013946656496453,29.93656628587254,2.5991433319410837,1.439823968045142,2.706168622523819e-16
Case1-arc,0.7826303171421585,-0.6376397596697598,0.7040284043852189,34.54994650827724,2.711822921817593,1.3678461545091682,-7.979727989493313e-17
