component,s,branch_id,reliable,x,y,c1,c2,r,jacobi_CJ,max_real,n_centre_pairs,omega1,omega2,ratio
Case1-arc,0.3825544750600071,1,True,-1.6274916132457893,1.5775015174061755,-0.979661277024218,0.988922219799201,2.266548033597384,11.224512268836364,1.430285621951876,1,1.4111085406754662,,
Case1-arc,0.3825544750600071,2,True,-0.9418411754060616,0.507927650163121,-0.979661277024218,0.988922219799201,1.0700725664600985,14.54899113714913,5.7844315340557655,1,3.9084421062597836,,
Case1-arc,0.3825544750600071,3,True,-0.5016862851178794,0.8877703385894935,-0.979661277024218,0.988922219799201,1.0197182467498962,14.418908599472807,5.73636256454923,1,3.8472986162654608,,
Case1-arc,0.3825544750600071,4,True,-0.4617712940625393,0.0559957664688968,-0.979661277024218,0.988922219799201,0.4651540109282423,13.842658358592523,5.497735663640763,1,3.5230547556472516,,
Case1-arc,0.3825544750600071,6,True,-0.4106291390617501,0.3735994458326722,-0.979661277024218,0.988922219799201,0.5551511828079572,13.481377715679262,2.631836263629613,0,,,
Case1-arc,0.3825544750600071,7,True,-0.1233287180395688,0.3799573021483395,-0.979661277024218,0.988922219799201,0.3994715561202425,13.737100026774606,5.354255433172443,1,3.3485549836732416,,
Case1-arc,0.3825544750600071,5,True,1.0596463328984715,-0.820984078734497,-0.979661277024218,0.988922219799201,1.3404720095401876,6.610052360813391,0.32749121771300305,0,,,
Case1-arc,0.3999433150641564,1,True,-1.6319608616573156,1.5701352437638885,-0.9660862454970036,0.9742348606312424,2.264645874676827,11.379443865881946,1.378598123279165,1,1.3812026351892217,,
Case1-arc,0.3999433150641564,2,True,-0.9286799419922448,0.5048502019130431,-0.9660862454970036,0.9742348606312424,1.0570336612569913,15.16414319696926,5.9472946658470995,1,3.9898302473688214,,
Case1-arc,0.3999433150641564,3,True,-0.4996265666344841,0.8749341852326126,-0.9660862454970036,0.9742348606312424,1.0075398426740345,15.03402520658914,5.892343553143436,1,3.920493823710704,,
Case1-arc,0.3999433150641564,4,True,-0.4737102786844976,0.0516305077382406,-0.9660862454970036,0.9742348606312424,0.47651562142352993,14.649322715921507,5.742745202041768,1,3.710568791315689,,
Case1-arc,0.3999433150641564,6,True,-0.434258345412187,0.3989582116338276,-0.9660862454970036,0.9742348606312424,0.5897015899505378,14.187642120740005,2.672150542757823,0,,,
Case1-arc,0.3999433150641564,7,True,-0.1163853842118645,0.3916261135017163,-0.9660862454970036,0.9742348606312424,0.40855424417646485,14.532440947155006,5.613952090175245,1,3.5553767505327323,,
Case1-arc,0.3999433150641564,5,True,1.0951661444985896,-0.835075844070312,-0.9660862454970036,0.9742348606312424,1.3772220407057278,6.89331845109986,0.3176606604433576,0,,,
Case1-arc,0.4173321551521555,1,True,-1.6383373224475473,1.5626855158687631,-0.952500054675045,0.9595578234864168,2.2640969951904935,11.550296912487799,1.325618653879367,1,1.350863558127477,,
Case1-arc,0.4173321551521555,2,True,-0.915307638855613,0.5014068860217775,-0.952500054675045,0.9595578234864168,1.0436459836062673,15.820313925223067,6.110580220850007,1,4.066915784287038,,
Case1-arc,0.4173321551521555,3,True,-0.4972049108898643,0.8618053456730936,-0.952500054675045,0.9595578234864168,0.9949478263927803,15.68992898566432,6.048075109343058,1,3.988335391198148,,
Case1-arc,0.4173321551521555,4,True,-0.4852903265077232,0.0475650837493802,-0.952500054675045,0.9595578234864168,0.48761576901701825,15.509076234949266,5.995688181541568,1,3.90125947558876,,
Case1-arc,0.4173321551521555,6,True,-0.4570956001394544,0.4241905910654538,-0.952500054675045,0.9595578234864168,0.6235976629328457,14.928663846198488,2.7304691290183474,0,,,
Case1-arc,0.4173321551521555,7,True,-0.1100308842748242,0.4029380989849587,-0.952500054675045,0.9595578234864168,0.41769116235313397,15.379706812374645,5.878584749654483,1,3.7610806995051753,,
Case1-arc,0.4173321551521555,5,True,1.13202941182186,-0.8487085415538346,-0.952500054675045,0.9595578234864168,1.4148486766209958,7.191466059780934,0.3073389710557569,0,,,
Case1-arc,0.434720995355366,1,True,-1.646904442006953,1.5549730530136614,-0.938901126461563,0.9448925873136867,2.2650023039063027,11.738050807220123,1.271365001776858,1,1.3201613633042144,,
Case1-arc,0.434720995355366,2,True,-0.9016558866773576,0.4975968605195777,-0.938901126461563,0.9448925873136867,1.0298475487075123,16.520903379210043,6.272904720343648,1,4.137683757588376,,
Case1-arc,0.434720995355366,4,True,-0.4965722722250846,0.0437660308247503,-0.938901126461563,0.9448925873136867,0.4984972286752821,16.42603878907311,6.257503981283265,1,4.096185696231281,,
