arc,s,R_p,M,r_max_bound,max_detected_r,detected_within_bound,bound_in_box
Case1-arc,0.3825544750600071,1.3920141430722968,4.581240737956302,2.695658479663979,2.266548033597384,True,True
Case1-arc,0.3999433150641564,1.3720263107563475,4.793387646584516,2.7035627331271925,2.264645874676827,True,True
Case1-arc,0.4173321551521555,1.352038302256986,5.0208198622568325,2.7125403915787936,2.2640969951904935,True,True
Case1-arc,0.434720995355366,1.3320500466690977,5.264855450368281,2.7226375213100695,2.2650023039063027,True,True
Case1-arc,0.4521098357195363,1.312061459115288,5.5269862616098555,2.7339067498555356,2.2674672591190577,True,True
Case1-arc,0.4694986763127233,1.2920724381449464,5.808924445405951,2.7464098862568136,2.2716027500247233,True,True
Case1-arc,0.4868875172384115,1.2720828628663539,6.112667994225951,2.7602216193459608,2.277527076856279,True,True
Case1-arc,0.5042763586577794,1.2520925900530167,6.440594406259807,2.775434757397312,2.2853697615187856,True,True
Case1-arc,0.5216652008287299,1.2321014518239801,6.795596460450928,2.7921677007449244,2.295278337552193,True,True
Case1-arc,0.5390540441765532,1.2121092552624277,7.181282090857346,2.810575201145736,2.307429980888879,True,True
Case1-arc,0.5564428894268889,1.1921157869771821,7.60227373211311,2.8308640515506447,2.322051108400629,True,True
Case1-arc,0.5738317378668912,1.1721208291984182,8.064665634238796,2.8533163388112674,2.339450257235537,True,True
Case1-arc,0.5912205918841783,1.1521242020690188,8.576739045148829,2.8783246034335574,2.360072404939389,True,True
Case1-arc,0.6086094561439913,1.132125865661631,9.150112300318149,2.906446319615838,2.3845805028226095,True,True
Case1-arc,0.62599834033676,1.1121261615545948,9.801653232092342,2.938490829940414,2.4139339078996715,True,True
Case1-arc,0.6433872661106116,1.0921263943994826,10.5567896245912,2.9756629872923397,2.4493460331344052,True,True
Case1-arc,0.6607762862543778,1.0721302915379944,11.455521606180644,3.0198102891144956,2.4921838052468988,True,True
Case1-arc,0.6781655438965968,1.0521479091873522,12.56397305722731,3.073867524933014,2.5444430923953076,True,True
Case1-arc,0.6955554795312777,1.0322070298910555,13.998003873451264,3.142691567128756,2.609961321809254,True,True
Case1-arc,0.7129476499232992,1.0123901058718698,15.974119002859602,3.2346498535671726,2.6961382670894642,True,True
Case1-arc,0.730348026834871,1.0,18.916627390727054,3.3694290016875916,2.8165984514327698,True,True
Case1-arc,0.7477731482663338,1.0,23.588083549928967,3.570344204416655,2.9917905124394144,True,True
